iter	Passed	Remaining
399	70389	105584
400	70574	105421
401	70759	105258
402	70921	105061
403	71085	104868
404	71262	104694
405	71433	104510
406	71621	104352
407	71789	104165
408	71966	103990
409	72125	103789
410	72295	103605
411	72480	103443
412	72681	103302
413	72872	103148
414	73059	102987
415	73232	102807
416	73410	102633
417	73604	102482
418	73776	102301
419	73955	102129
420	74123	101941
421	74304	101772
422	74489	101609
423	74665	101432
424	74835	101248
425	75004	101061
426	75181	100887
427	75342	100691
428	75551	100558
429	75721	100375
430	75917	100225
431	76087	100040
432	76264	99865
433	76442	99692
434	76610	99505
435	76777	99317
436	76956	99145
437	77143	98983
438	77280	98757
439	77447	98569
440	77636	98410
441	77825	98250
442	77996	98067
443	78183	97905
444	78363	97734
445	78543	97563
446	78712	97378
447	78916	97235
448	79092	97059
449	79190	96788
450	79308	96541
451	79418	96286
452	79599	96116
453	79760	95923
454	79932	95743
455	80092	95548
456	80269	95375
457	80454	95209
458	80657	95067
459	80842	94901
460	80999	94704
461	81172	94525
462	81278	94269
463	81447	94085
464	81552	93829
465	81737	93664
466	81935	93515
467	82107	93335
468	82267	93142
469	82394	92913
470	82610	92783
471	82803	92627
472	83002	92477
473	83172	92297
474	83343	92116
475	83516	91938
476	83694	91765
477	83868	91588
478	84037	91406
479	84199	91215
480	84378	91044
481	84529	90843
482	84673	90633
483	84858	90468
484	85025	90284
485	85192	90100
486	85361	89918
487	85535	89742
488	85698	89554
489	85874	89380
490	86048	89203
491	86210	89013
492	86388	88841
493	86565	88668
494	86748	88500
495	86924	88326
496	87081	88132
497	87247	87948
498	87404	87755
499	87586	87586
500	87762	87411
501	87957	87256
502	88108	87057
503	88282	86881
504	88461	86709
505	88640	86537
506	88817	86364
507	88976	86173
508	89082	85931
509	89224	85725
510	89399	85550
511	89563	85364
512	89730	85182
513	89884	84987
514	90030	84785
515	90214	84619
516	90396	84451
517	90551	84258
518	90719	84077
519	90895	83903
520	91073	83731
521	91253	83561
522	91419	83378
523	91586	83196
524	91751	83012
525	91891	82806
526	92058	82625
527	92246	82463
528	92413	82280
529	92581	82100
530	92746	81917
531	92922	81744
532	93077	81551
533	93256	81381
534	93427	81203
535	93598	81025
536	93785	80861
537	93943	80672
538	94104	80486
539	94258	80294
540	94410	80100
541	94604	79942
542	94789	79776
543	94959	79598
544	95136	79425
545	95310	79251
546	95453	79050
547	95627	78875
548	95805	78703
549	95985	78533
550	96158	78357
551	96351	78198
552	96529	78026
553	96693	77843
554	96849	77654
555	97030	77484
556	97151	77267
557	97343	77106
558	97537	76948
559	97720	76780
560	97882	76596
561	98043	76410
562	98171	76200
563	98288	75981
564	98408	75765
565	98586	75594
566	98736	75402
567	98924	75238
568	99110	75073
569	99225	74854
570	99404	74684
571	99567	74501
572	99742	74328
573	99917	74155
574	100107	73992
575	100266	73807
576	100468	73653
577	100658	73491
578	100827	73313
579	100997	73136
580	101136	72936
581	101298	72753
582	101477	72583
583	101657	72413
584	101821	72232
585	101977	72045
586	102154	71873
587	102309	71686
588	102476	71507
589	102647	71331
590	102816	71153
591	102993	70982
592	103162	70804
593	103331	70627
594	103446	70413
595	103562	70200
596	103728	70020
597	103886	69836
598	104055	69659
599	104214	69476
600	104393	69305
601	104561	69128
602	104731	68952
603	104902	68776
604	105072	68601
605	105197	68395
606	105376	68225
607	105544	68048
608	105706	67867
609	105868	67686
610	106037	67510
611	106219	67341
612	106395	67169
613	106565	66994
614	106751	66828
615	106920	66651
616	107089	66475
617	107247	66292
618	107405	66109
619	107568	65929
620	107756	65764
621	107935	65594
622	108095	65412
623	108214	65205
624	108409	65045
625	108587	64875
626	108743	64691
627	108918	64518
628	109104	64352
629	109292	64187
630	109478	64021
631	109656	63850
632	109838	63682
633	110014	63509
634	110192	63339
635	110335	63148
636	110515	62978
637	110700	62811
638	110877	62639
639	111055	62468
640	111221	62290
641	111395	62117
642	111559	61938
643	111739	61769
644	111863	61568
645	112066	61411
646	112231	61232
647	112371	61041
648	112475	60830
649	112596	60629
650	112756	60448
651	112929	60275
652	113106	60103
